baseline,bootstrap_seeds,campaign_id,campaign_profile,candidate,comparison,concurrent_pairs,effect_metric,evidence_label,holm_adjusted_p,holm_family,holm_family_size,interaction_definition,items_per_arc,mean_reduction_pct,median_difference_ci95_ms,median_difference_ms,median_reduction_ci95_pct,median_reduction_pct,paired_trials,participants,rank_biserial_ci95,rank_biserial_effect,raw_paired_differences_ms,route,trial_ids,wilcoxon_signed_rank_p
reference-itemwise,"{'median_reduction': 16558079603519467806, 'median_difference': 6207890061603635670, 'rank_biserial': 1238899312619138749}",preswap-eu-primary-v3-final,primary,batch-joint-presigning-batch-verification,complete_method_vs_reference,1,critical-pair-wall,eu_primary,0.7230267081766819,one-pair:H3-secondary-system-contrast,8,,5,-0.10608555571938368,"[-2.304699, 0.744603]",-0.37280599999999997,"[-0.30295931352356403, 0.09841394174338686]",-0.04957576292466912,100,3,"[-0.3572277227722772, 0.09346534653465347]",-0.13504950495049506,"[1.930499, 3.422381, -4.165054, -7.374721, -10.837616, 1.037935, -0.647599, 1.951024, -0.241303, 12.519274, -2.124533, 5.327807, -15.106878, -5.473836, -6.597211, 2.484573, -5.967108, 10.366576, -6.710531, -4.992052, -1.774616, 2.369554, -6.296139, -4.279037, 4.477199, 2.422187, -7.134761, -7.19559, -3.092397, 1.786979, -5.357172, -2.436197, -0.541358, -3.004366, -2.536347, -5.022569, -0.273614, -28.082529, 14.424111, -0.212365, -3.74873, -10.823658, 2.540034, -0.042899, -3.325071, 3.735635, -0.872026, -4.899383, 5.525251, -1.873128, 4.69728, 6.057599, 4.890485, 4.823258, 7.964121, 2.526962, 9.119195, -2.429135, -4.892727, 2.429235, -2.573141, 3.241324, 3.332377, -2.415476, -6.99595, 2.282613, 2.933081, -4.531816, -2.444888, -0.076113, 0.042327, -4.771281, 0.744603, -3.690117, -6.03195, -1.666698, -2.304699, -1.969294, 7.670829, 1.788281, 0.416996, -6.352622, -13.705872, 5.470913, 0.294133, -2.624195, 2.208194, -6.331352, 0.627744, 3.53876, -4.743842, 0.773368, 10.046425, 2.942758, 6.137022, 3.087324, 9.299534, -0.471998, -11.91037, 2.922042]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.24100890272556064
reference-itemwise,"{'median_reduction': 6648279602802555829, 'median_difference': 17191065368024957991, 'rank_biserial': 11162945575141404017}",preswap-eu-primary-v3-final,primary,phase-coalesced-itemwise,phase_coalescing_vs_reference,1,critical-pair-wall,eu_primary,0.12801370210069543,one-pair:exploratory,40,,5,-0.2263565050940948,"[-1.7290480000000001, -0.264832]",-0.796727,"[-0.22948972272927343, -0.03314809210104264]",-0.1058890129258204,100,3,"[-0.5342574257425743, -0.11326732673267327]",-0.32792079207920793,"[-1.40421, -3.570779, -2.965365, -8.437631, -7.645335, -2.798627, -2.413191, -5.03737, -1.546661, 7.105104, -0.656275, 2.5707, -9.138386, -1.660157, -0.133805, 3.567579, -8.922737, -3.154033, -4.706613, -10.468516, -1.527061, -9.382721, -5.675104, -10.589861, 0.855344, -0.957634, -9.712431, -0.678401, -2.710879, 1.611394, -0.30031, -0.357123, -0.806054, 0.36721, 0.013032, 5.534099, -3.306422, -21.05377, -0.92549, 4.06119, -3.37724, -11.021862, -0.509596, -5.851079, 1.158371, 3.657756, -0.116161, -12.996064, 4.698501, -2.610721, 5.911405, 1.526798, 5.060479, 6.452665, 2.858167, -0.124809, 0.62537, -0.7874, -2.424135, -0.827908, 1.98965, 1.284789, 1.287711, 1.691704, -0.229354, -3.988163, 0.851468, 1.175537, 0.999259, -4.631167, -4.794675, -8.361347, -0.634714, 2.118794, -9.047761, -0.345945, 4.964741, 0.576692, -4.420448, -5.65676, -0.68913, -4.235684, 0.958278, 7.703789, -0.268275, 6.067098, -1.653937, -10.528857, -1.233513, -4.580803, -5.057367, 2.112522, 5.555124, -1.804159, 1.997477, 1.355957, -2.342037, 3.558478, -12.054876, -2.190789]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.004414265589679152
phase-coalesced-itemwise,"{'median_reduction': 8154335261698303987, 'median_difference': 16661657315441978877, 'rank_biserial': 5014501570764010227}",preswap-eu-primary-v3-final,primary,batch-joint-presigning-itemwise,batch_joint_presigning_vs_phase_coalesced_itemwise,1,critical-pair-wall,eu_primary,1.0,one-pair:exploratory,40,,5,0.0005546292167172682,"[-0.9643275, 0.872375]",-0.07098549999999999,"[-0.1332823716505402, 0.11517005403221155]",-0.00937837485667588,100,3,"[-0.2487128712871287, 0.20673267326732672]",-0.019801980198019802,"[-4.768215, -2.734549, -0.478105, -1.189471, -7.95216, -4.078345, 2.182958, 2.78776, 2.14034, -3.560461, -0.77794, -3.023595, -3.147112, 1.14578, -5.312783, 1.977042, 0.348304, -0.588313, 3.087515, 6.300658, 0.948197, 1.695298, 0.699969, 6.730884, 3.669445, 3.199846, 0.504744, -2.487252, 4.67973, 3.764873, -4.089932, -2.328507, -2.91287, 0.60362, -8.155357, -5.879518, 0.289188, -2.186025, -1.821537, -0.961632, 1.915221, -3.37146, 2.364433, -3.360744, -5.262189, -3.116613, -0.398384, 11.324849, -7.397148, -4.055035, -0.699991, -1.070783, 0.530009, -4.246951, 5.608763, -1.963947, 0.011747, 2.464016, 1.53223, 0.872375, -9.60793, 6.206872, 0.356496, -1.555363, -5.674209, -0.153718, 0.234511, -6.56513, -1.18442, 5.191927, 5.641005, 2.59011, 3.666873, -1.475787, 3.274145, -4.431898, -4.73801, 3.338594, 1.548611, 5.342653, -6.499186, 7.099013, 2.986046, -0.813833, -7.691935, 1.702658, 5.033826, 6.719241, 14.292378, 0.876796, -0.857872, -2.105824, -1.369227, 0.931182, -0.619864, -2.158533, 6.300338, -4.908687, 6.510496, 4.115362]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.8635033772834252
reference-itemwise,"{'median_reduction': 10462380426478044037, 'median_difference': 11070577358108760713, 'rank_biserial': 6069912061425213348}",preswap-eu-primary-v3-final,primary,batch-joint-presigning-itemwise,batch_joint_presigning_vs_reference,1,critical-pair-wall,eu_primary,0.12801370210069543,one-pair:exploratory,40,,5,-0.22460201061608942,"[-2.698647, -0.11176749999999999]",-0.882441,"[-0.3610536964054694, -0.0245783698075159]",-0.1170457295912466,100,3,"[-0.5326732673267327, -0.11524752475247525]",-0.32792079207920793,"[-6.172425, -6.305328, -3.44347, -9.627102, -15.597495, -6.876972, -0.230233, -2.24961, 0.593679, 3.544643, -1.434215, -0.452895, -12.285498, -0.514377, -5.446588, 5.544621, -8.574433, -3.742346, -1.619098, -4.167858, -0.578864, -7.687423, -4.975135, -3.858977, 4.524789, 2.242212, -9.207687, -3.165653, 1.968851, 5.376267, -4.390242, -2.68563, -3.718924, 0.97083, -8.142325, -0.345419, -3.017234, -23.239795, -2.747027, 3.099558, -1.462019, -14.393322, 1.854837, -9.211823, -4.103818, 0.541143, -0.514545, -1.671215, -2.698647, -6.665756, 5.211414, 0.456015, 5.590488, 2.205714, 8.46693, -2.088756, 0.637117, 1.676616, -0.891905, 0.044467, -7.61828, 7.491661, 1.644207, 0.136341, -5.903563, -4.141881, 1.085979, -5.389593, -0.185161, 0.56076, 0.84633, -5.771237, 3.032159, 0.643007, -5.773616, -4.777843, 0.226731, 3.915286, -2.871837, -0.314107, -7.188316, 2.863329, 3.944324, 6.889956, -7.96021, 7.769756, 3.379889, -3.809616, 13.058865, -3.704007, -5.915239, 0.006698, 4.185897, -0.872977, 1.377613, -0.802576, 3.958301, -1.350209, -5.54438, 1.924573]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.004414265589679152
batch-joint-presigning-itemwise,"{'median_reduction': 13350390193021940327, 'median_difference': 451980085041871075, 'rank_biserial': 6038528155051665717}",preswap-eu-primary-v3-final,primary,batch-joint-presigning-batch-verification,batch_verification_with_batch_joint_presigning,1,critical-pair-wall,eu_primary,0.25542840433655317,one-pair:H1-aggregate-within-shared,8,,5,0.11645832763497607,"[-0.690318, 1.68817]",0.214704,"[-0.09228725677480157, 0.22403507237559597]",0.028485549639740357,100,3,"[-0.05742574257425743, 0.38415841584158417]",0.1710891089108911,"[8.102924, 9.727709, -0.721584, 2.252381, 4.759879, 7.914907, -0.417366, 4.200634, -0.834982, 8.974631, -0.690318, 5.780702, -2.82138, -4.959459, -1.150623, -3.060048, 2.607325, 14.108922, -5.091433, -0.824194, -1.195752, 10.056977, -1.321004, -0.42006, -0.04759, 0.179975, 2.072926, -4.029937, -5.061248, -3.589288, -0.96693, 0.249433, 3.177566, -3.975196, 5.605978, -4.67715, 2.74362, -4.842734, 17.171138, -3.311923, -2.286711, 3.569664, 0.685197, 9.168924, 0.778747, 3.194492, -0.357481, -3.228168, 8.223898, 4.792628, -0.514134, 5.601584, -0.700003, 2.617544, -0.502809, 4.615718, 8.482078, -4.105751, -4.000822, 2.384768, 5.045139, -4.250337, 1.68817, -2.551817, -1.092387, 6.424494, 1.847102, 0.857777, -2.259727, -0.636873, -0.804003, 0.999956, -2.287556, -4.333124, -0.258334, 3.111145, -2.53143, -5.88458, 10.542666, 2.102388, 7.605312, -9.215951, -17.650196, -1.419043, 8.254343, -10.393951, -1.171695, -2.521736, -12.431121, 7.242767, 1.171397, 0.76667, 5.860528, 3.815735, 4.759409, 3.8899, 5.341233, 0.878211, -6.36599, 0.997469]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.13744945670708206
phase-coalesced-itemwise,"{'median_reduction': 18036514669150124748, 'median_difference': 7426909464489346063, 'rank_biserial': 14689777770745555962}",preswap-eu-primary-v3-final,primary,phase-coalesced-batch-verification,batch_verification_with_phase_coalescing,1,critical-pair-wall,eu_primary,1.0,one-pair:exploratory,40,,5,0.13144015375301568,"[-0.19146300000000002, 1.941141]",1.0447515,"[-0.014596390208047488, 0.2578165666289301]",0.13867235592188298,100,3,"[-0.029306930693069305, 0.41386138613861384]",0.19722772277227724,"[-2.215479, 3.3209, -1.16495, 3.268042, 0.404295, -2.261859, 1.941141, 2.684877, 1.762162, 1.239831, 0.182124, 3.943607, -7.289391, -1.408635, -3.910765, -2.073796, -2.664861, 2.869451, 2.421916, 6.587932, 0.696185, 5.644123, -1.940327, 7.929718, 3.963744, 5.216501, 3.851849, -4.09367, 1.69719, 1.152217, -1.364165, -4.112887, -7.231407, -4.561169, -4.693303, -5.8951, 19.155985, 1.410239, -2.719593, 2.460043, 2.059273, -0.867651, 7.81294, 3.611789, -7.128418, 1.023781, 14.089611, 10.069764, -2.29593, 0.017487, 3.031853, 1.545773, 2.42921, -2.425094, -4.114183, 6.458379, 2.156206, 1.755925, 10.052472, 2.277399, -3.239887, 7.295174, -1.731942, -5.576288, -2.849578, -0.92616, -1.314925, -0.400413, 2.697371, 21.256665, 5.100018, 5.726238, 2.013664, 0.45894, 4.587215, -0.048599, -2.369634, -1.83647, -1.60411, 5.648714, -1.671435, 2.918035, 0.433298, -1.178186, -6.310796, -5.136611, 0.19795, 9.495575, 2.628361, 1.302252, 1.065722, -7.257801, -1.006287, 0.279196, -2.283887, 2.128065, 2.641445, -11.291829, 2.795695, 2.031602]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.0868440173822393
phase-coalesced-batch-verification,"{'median_reduction': 9904964799167686153, 'median_difference': 12854668526609793806, 'rank_biserial': 1976480386203113803}",preswap-eu-primary-v3-final,primary,batch-joint-presigning-batch-verification,batch_joint_presigning_vs_phase_coalesced_aggregate,1,critical-pair-wall,eu_primary,1.0,one-pair:H2-envelope-beyond-phase-coalescing,8,,5,-0.01544381539749102,"[-1.272154, 0.979744]",-0.6719315,"[-0.16843016920787945, 0.1305364659275735]",-0.08887550366221822,100,3,"[-0.23722772277227722, 0.2198019801980198]",-0.006732673267326733,"[5.550188, 3.67226, -0.034739, -2.205132, -3.596576, 6.098421, -0.175549, 4.303517, -0.456804, 4.174339, -1.650382, -1.1865, 1.320899, -2.405044, -2.552641, 0.99079, 5.62049, 10.651158, -4.425834, -1.111468, -0.94374, 6.108152, 1.319292, -1.618894, -0.341889, -1.83668, -1.274179, -2.423519, -2.078708, -0.976632, -3.692697, 2.033813, 7.496103, 1.189593, 2.143924, -4.661568, -16.123177, -8.438998, 18.069194, -6.733598, -2.430763, 1.065855, -4.76331, 2.196391, 2.644976, -0.945902, -14.845476, -1.973083, 3.12268, 0.720106, -4.245978, 2.985028, -2.599204, 0.795687, 9.220137, -3.806608, 6.337619, -3.39766, -12.521064, 0.979744, -1.322904, -5.338639, 3.776608, 1.469108, -3.917018, 7.196936, 3.396538, -5.30694, -6.141518, -16.701611, -0.263016, -2.136172, -0.634347, -6.267851, -1.571404, -1.272154, -4.899806, -0.709516, 13.695387, 1.796327, 2.777561, -5.034973, -15.097448, -1.05469, 6.873204, -3.554682, 3.664181, -5.29807, -0.767104, 6.817311, -0.752197, 5.918647, 5.497588, 4.467721, 6.423432, -0.396698, 9.000126, 7.261353, -2.651189, 3.081229]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.9533889759974613
additive_session_and_verification_main_effects,"{'median_reduction': 3399073111190955125, 'median_difference': 4375800176342718088, 'rank_biserial': 12020412394049119564}",preswap-eu-primary-v3-final,primary,observed_combined_shared_aggregate_effect,session_verification_interaction,1,critical-pair-wall-interaction,eu_primary,1.0,one-pair:exploratory,40,shared_itemwise + independent_aggregate - independent_itemwise - shared_aggregate; positive values mean the combined method saves more wall time than the sum of the two isolated main effects,5,-0.013187999421548418,"[-1.406528, 1.966273]",0.252302,"[-0.18422019997694628, 0.2663036272325723]",0.03361413982587161,100,3,"[-0.2083168316831683, 0.24396039603960396]",0.018217821782178217,"[10.318403, 6.406809, 0.443366, -1.015661, 4.355584, 10.176766, -2.358507, 1.515757, -2.597144, 7.7348, -0.872442, 1.837095, 4.468011, -3.550824, 2.760142, -0.986252, 5.272186, 11.239471, -7.513349, -7.412126, -1.891937, 4.412854, 0.619323, -8.349778, -4.011334, -5.036526, -1.778923, 0.063733, -6.758438, -4.741505, 0.397235, 4.36232, 10.408973, 0.585973, 10.299281, 1.21795, -16.412365, -6.252973, 19.890731, -5.771966, -4.345984, 4.437315, -7.127743, 5.557135, 7.907165, 2.170711, -14.447092, -13.297932, 10.519828, 4.775141, -3.545987, 4.055811, -3.129213, 5.042638, 3.611374, -1.842661, 6.325872, -5.861676, -14.053294, 0.107369, 8.285026, -11.545511, 3.420112, 3.024471, 1.757191, 7.350654, 3.162027, 1.25819, -4.957098, -21.893538, -5.904021, -4.726282, -4.30122, -4.792064, -4.845549, 3.159744, -0.161796, -4.04811, 12.146776, -3.546326, 9.276747, -12.133986, -18.083494, -0.240857, 14.565139, -5.25734, -1.369645, -12.017311, -15.059482, 5.940515, 0.105675, 8.024471, 6.866815, 3.536539, 7.043296, 1.761835, 2.699788, 12.17004, -9.161685, -1.034133]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.8743284035131398
reference-itemwise,"{'median_reduction': 986886517095540794, 'median_difference': 8416304016480957205, 'rank_biserial': 8206934512385580377}",preswap-eu-primary-v3-final,primary,batch-joint-presigning-batch-verification,complete_method_vs_reference,1,critical-pair-wall,eu_primary,0.04924423392894351,one-pair:H3-secondary-system-contrast,8,,9,0.1999043086443696,"[-0.162595, 2.7757235]",1.0824099999999999,"[-0.021538889692264356, 0.3642101422891838]",0.14336614456060634,100,5,"[0.06732673267326733, 0.4974257425742574]",0.2883168316831683,"[-1.243663, -0.162595, -3.221731, -10.298898, 3.464187, -5.373484, 7.604103, -0.180675, -2.732132, -1.786424, -1.574376, -1.710111, -7.521394, -5.838226, 5.158528, 3.313988, 1.042195, -0.836119, -5.786782, 5.110512, 5.921626, -0.971491, -0.966405, 4.7832, 5.97086, 0.243452, 23.229451, -4.286423, 9.799596, -24.491271, -2.699077, -7.425358, 7.347743, -1.273163, 3.274585, 28.992871, -0.281649, 7.994512, 2.604176, -5.787992, 3.656186, -5.320962, 1.122625, -0.639381, -3.009017, 0.856162, 4.191042, -0.111912, 4.587689, 4.701567, -2.382658, 1.241358, -1.783634, 0.598955, -1.497573, 3.041903, -1.522062, -0.146707, 6.63411, -14.447193, 6.518711, 9.008395, 5.245459, -0.252803, 5.010687, 7.083455, -3.531596, 2.14314, 7.208388, 0.585064, -1.92928, 2.375891, -4.697392, -1.261688, 6.514364, 6.495315, 2.599319, 1.173408, -2.575521, 1.47672, 8.609734, 2.952128, -2.672135, -2.253858, 8.313228, 0.805846, 5.41246, 2.515967, -7.241112, -12.567059, 8.190307, 1.969767, 3.668925, 11.108885, 17.576735, 3.648966, 8.545696, 0.422916, 6.977804, 9.635531]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.012311058482235878
reference-itemwise,"{'median_reduction': 11590826196336827193, 'median_difference': 2397815246918651937, 'rank_biserial': 4755285841703018294}",preswap-eu-primary-v3-final,primary,phase-coalesced-itemwise,phase_coalescing_vs_reference,1,critical-pair-wall,eu_primary,0.23502501363764428,one-pair:exploratory,40,,9,-0.24863191694735845,"[-2.27318, 0.277042]",-0.8617015,"[-0.29922405000526997, 0.036265599331251674]",-0.11357201223154442,100,5,"[-0.5085148514851485, -0.08554455445544555]",-0.30217821782178217,"[0.080228, -24.728361, 0.375665, -3.04219, 2.153711, -3.865074, -1.655879, -2.550298, -6.39583, -11.215274, -7.653765, 0.590219, -5.072271, -5.404459, 1.415849, -0.175735, -7.619096, 7.590327, -5.332054, 0.331239, 4.556471, -0.564449, 0.605328, 2.717836, 2.332327, -0.06775, -3.747914, -0.76951, -4.44792, -4.504291, -10.78842, -2.447627, 6.481751, 0.492496, -1.797054, 0.958949, -4.569991, 3.334805, 2.369849, -0.444207, -4.651456, 0.352651, -7.987681, -6.10458, 0.609666, -8.048911, 0.666181, -4.298845, 0.936678, 0.422563, -10.755358, 1.620756, -2.27318, 0.984258, -3.760829, -1.73892, -4.239757, 11.100486, 0.797339, -21.77629, 3.110711, 0.277042, 4.556755, -7.061657, 7.169776, 1.195467, -1.696915, 4.155667, 5.504577, -0.674732, 3.472699, -0.007454, 11.696217, -8.497953, -1.397995, -6.249919, -9.501998, -1.688571, -9.730066, -4.004706, -0.953893, -1.991375, -10.943195, -5.402053, 13.695313, -1.630863, -3.985121, 5.777662, -19.4771, -15.734394, 7.634504, -10.57516, -0.179769, 4.458965, 0.949937, 2.718264, -5.930429, -4.346352, 6.146314, 3.412461]",eu_to_us,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",0.008704630134727566
