campaign_id,concurrent_pairs,configuration,evidence_label,items_per_arc,median_initiator_calloc_calls_per_pair,median_initiator_free_calls_per_pair,median_initiator_malloc_calls_per_pair,median_initiator_network_syscalls_per_pair,median_initiator_realloc_calls_per_pair,median_initiator_requested_allocation_bytes_per_pair,median_initiator_syscall_errors_per_pair,median_initiator_syscalls_per_pair,median_responder_calloc_calls_per_pair,median_responder_free_calls_per_pair,median_responder_malloc_calls_per_pair,median_responder_network_syscalls_per_pair,median_responder_realloc_calls_per_pair,median_responder_requested_allocation_bytes_per_pair,median_responder_syscall_errors_per_pair,median_responder_syscalls_per_pair,participants,profiling_mode,route,trials
preswap-eu-allocation-v3-final,1,batch-joint-presigning-batch-verification,eu_allocation,15,22.0,246.5,64.0,,188.5,131310.0,,,24.0,233.5,50.0,,234.5,166680.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,batch-joint-presigning-itemwise,eu_allocation,15,19.0,226.5,63.0,,142.5,91582.0,,,19.0,196.5,50.0,,142.5,87476.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,phase-coalesced-batch-verification,eu_allocation,15,22.0,246.5,64.0,,188.5,133710.0,,,24.0,233.5,50.0,,234.5,169080.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,phase-coalesced-itemwise,eu_allocation,15,19.0,226.5,63.0,,142.5,93982.0,,,19.0,196.5,50.0,,142.5,89876.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,reference-itemwise,eu_allocation,15,62.0,295.5,91.0,,142.5,97198.0,,,47.0,279.5,92.0,,142.5,92912.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,batch-joint-presigning-batch-verification,eu_allocation,15,22.0,248.0703125,64.0,,190.0703125,131712.0,,,24.0,235.0703125,50.0,,236.0703125,167082.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,batch-joint-presigning-itemwise,eu_allocation,15,19.0,228.0703125,63.0,,144.0703125,91984.0,,,19.0,198.0703125,50.0,,144.0703125,87878.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,phase-coalesced-batch-verification,eu_allocation,15,22.0,248.0703125,64.0,,190.0703125,134112.0,,,24.0,235.0703125,50.0,,236.0703125,169482.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,phase-coalesced-itemwise,eu_allocation,15,19.0,228.0703125,63.0,,144.0703125,94384.0,,,19.0,198.0703125,50.0,,144.0703125,90278.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,reference-itemwise,eu_allocation,15,62.0,297.0703125,91.0,,144.0703125,97600.0,,,47.0,281.0703125,92.0,,144.0703125,93314.0,,,8,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,batch-joint-presigning-batch-verification,eu_allocation,31,22.0,443.5,112.0,,386.5,265486.0,,,24.0,446.5,98.0,,480.5,342328.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,batch-joint-presigning-itemwise,eu_allocation,31,19.0,407.5,111.0,,292.5,184222.0,,,19.0,377.5,98.0,,292.5,180180.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,phase-coalesced-batch-verification,eu_allocation,31,22.0,443.5,112.0,,386.5,270446.0,,,24.0,446.5,98.0,,480.5,347288.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,phase-coalesced-itemwise,eu_allocation,31,19.0,407.5,111.0,,292.5,189182.0,,,19.0,377.5,98.0,,292.5,185140.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,1,reference-itemwise,eu_allocation,31,110.0,556.5,171.0,,292.5,196238.0,,,79.0,556.5,188.0,,292.5,191824.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,batch-joint-presigning-batch-verification,eu_allocation,31,22.0,439.91796875,112.0,,382.91796875,264569.0,,,24.0,442.91796875,98.0,,476.91796875,341411.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,batch-joint-presigning-itemwise,eu_allocation,31,19.0,403.91796875,111.0,,288.91796875,183305.0,,,19.0,373.91796875,98.0,,288.91796875,179263.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,phase-coalesced-batch-verification,eu_allocation,31,22.0,439.91796875,112.0,,382.91796875,269529.0,,,24.0,442.91796875,98.0,,476.91796875,346371.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,phase-coalesced-itemwise,eu_allocation,31,19.0,403.91796875,111.0,,288.91796875,188265.0,,,19.0,373.91796875,98.0,,288.91796875,184223.0,,,16,allocation,eu_to_us,10
preswap-eu-allocation-v3-final,128,reference-itemwise,eu_allocation,31,110.0,552.91796875,171.0,,288.91796875,195321.0,,,79.0,552.91796875,188.0,,288.91796875,190907.0,,,16,allocation,eu_to_us,10
preswap-sg-allocation-v3-final,1,batch-joint-presigning-batch-verification,sg_allocation,15,22.0,244.0,64.0,,186.0,130670.0,,,24.0,231.0,50.0,,232.0,166040.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,batch-joint-presigning-itemwise,sg_allocation,15,19.0,224.0,63.0,,140.0,90942.0,,,19.0,194.0,50.0,,140.0,86836.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,phase-coalesced-batch-verification,sg_allocation,15,22.0,244.0,64.0,,186.0,133070.0,,,24.0,231.0,50.0,,232.0,168440.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,phase-coalesced-itemwise,sg_allocation,15,19.0,224.0,63.0,,140.0,93342.0,,,19.0,194.0,50.0,,140.0,89236.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,reference-itemwise,sg_allocation,15,62.0,293.0,91.0,,140.0,96558.0,,,47.0,277.0,92.0,,140.0,92272.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,batch-joint-presigning-batch-verification,sg_allocation,15,22.0,247.99609375,64.0,,189.99609375,131693.0,,,24.0,234.99609375,50.0,,235.99609375,167063.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,batch-joint-presigning-itemwise,sg_allocation,15,19.0,227.99609375,63.0,,143.99609375,91965.0,,,19.0,197.99609375,50.0,,143.99609375,87859.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,phase-coalesced-batch-verification,sg_allocation,15,22.0,247.99609375,64.0,,189.99609375,134093.0,,,24.0,234.99609375,50.0,,235.99609375,169463.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,phase-coalesced-itemwise,sg_allocation,15,19.0,227.99609375,63.0,,143.99609375,94365.0,,,19.0,197.99609375,50.0,,143.99609375,90259.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,reference-itemwise,sg_allocation,15,62.0,296.99609375,91.0,,143.99609375,97581.0,,,47.0,280.99609375,92.0,,143.99609375,93295.0,,,8,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,batch-joint-presigning-batch-verification,sg_allocation,31,22.0,436.5,112.0,,379.5,263694.0,,,24.0,439.5,98.0,,473.5,340536.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,batch-joint-presigning-itemwise,sg_allocation,31,19.0,400.5,111.0,,285.5,182430.0,,,19.0,370.5,98.0,,285.5,178388.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,phase-coalesced-batch-verification,sg_allocation,31,22.0,436.5,112.0,,379.5,268654.0,,,24.0,439.5,98.0,,473.5,345496.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,phase-coalesced-itemwise,sg_allocation,31,19.0,400.5,111.0,,285.5,187390.0,,,19.0,370.5,98.0,,285.5,183348.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,1,reference-itemwise,sg_allocation,31,110.0,549.5,171.0,,285.5,194446.0,,,79.0,549.5,188.0,,285.5,190032.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,batch-joint-presigning-batch-verification,sg_allocation,31,22.0,440.09375,112.0,,383.09375,264614.0,,,24.0,443.09375,98.0,,477.09375,341456.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,batch-joint-presigning-itemwise,sg_allocation,31,19.0,404.09375,111.0,,289.09375,183350.0,,,19.0,374.09375,98.0,,289.09375,179308.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,phase-coalesced-batch-verification,sg_allocation,31,22.0,440.09375,112.0,,383.09375,269574.0,,,24.0,443.09375,98.0,,477.09375,346416.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,phase-coalesced-itemwise,sg_allocation,31,19.0,404.09375,111.0,,289.09375,188310.0,,,19.0,374.09375,98.0,,289.09375,184268.0,,,16,allocation,sg_to_us,10
preswap-sg-allocation-v3-final,128,reference-itemwise,sg_allocation,31,110.0,553.09375,171.0,,289.09375,195366.0,,,79.0,553.09375,188.0,,289.09375,190952.0,,,16,allocation,sg_to_us,10
preswap-eu-syscall-v3-final,1,batch-joint-presigning-batch-verification,eu_syscall,15,,,,200.0,,,53.0,775.0,,,,656.0,,,105.0,1936.0,8,syscall,eu_to_us,5
preswap-eu-syscall-v3-final,1,batch-joint-presigning-itemwise,eu_syscall,15,,,,187.0,,,52.0,758.0,,,,629.0,,,104.0,1898.0,8,syscall,eu_to_us,5
preswap-eu-syscall-v3-final,1,phase-coalesced-batch-verification,eu_syscall,15,,,,190.0,,,52.0,761.0,,,,654.0,,,107.0,1921.0,8,syscall,eu_to_us,5
preswap-eu-syscall-v3-final,1,phase-coalesced-itemwise,eu_syscall,15,,,,187.0,,,52.0,757.0,,,,631.0,,,104.0,1900.0,8,syscall,eu_to_us,5
preswap-eu-syscall-v3-final,1,reference-itemwise,eu_syscall,15,,,,346.0,,,53.0,989.0,,,,1523.0,,,106.0,3262.0,8,syscall,eu_to_us,5
preswap-eu-syscall-v3-final,128,batch-joint-presigning-batch-verification,eu_syscall,15,,,,192.953125,,,52.734375,763.8203125,,,,273.8359375,,,6.609375,532.1875,8,syscall,eu_to_us,5
preswap-eu-syscall-v3-final,128,batch-joint-presigning-itemwise,eu_syscall,15,,,,186.5703125,,,52.6484375,753.5625,,,,262.03125,,,6.5546875,514.734375,8,syscall,eu_to_us,5
